Date,Match_Number,City,Venue,Season,Name,Match_Type,Total_Overs,Teams_Participated,Team_1,Team_2,Team_Type,Toss_Winner,Choose_To,Match_Winner,Match_Result,Win_By_Runs,Win_By_Wickets,Win_By_Innings,Man_Of_Match
2017-02-15,22,Colombo,Nondescripts Cricket Club Ground,2016/17,ICC Women's World Cup Qualifier,ODI,50,"Sri Lanka, Pakistan",Sri Lanka,Pakistan,international,Sri Lanka,field,Sri Lanka,,,5,,LE Kaushalya
2017-02-15,23,,Colombo Cricket Club Ground,2016/17,ICC Women's World Cup Qualifier,ODI,50,"Bangladesh, Ireland",Bangladesh,Ireland,international,Bangladesh,field,Bangladesh,,,7,,Jahanara Alam
2017-02-17,24,Colombo,P Sara Oval,2016/17,ICC Women's World Cup Qualifier,ODI,50,"Sri Lanka, South Africa",Sri Lanka,South Africa,international,Sri Lanka,bat,South Africa,,,9,,S Luus
2017-02-17,25,Colombo,Nondescripts Cricket Club Ground,2016/17,ICC Women's World Cup Qualifier,ODI,50,"Bangladesh, India",Bangladesh,India,international,India,field,India,,,9,,MR Meshram
2017-02-17,26,,Colombo Cricket Club Ground,2016/17,ICC Women's World Cup Qualifier,ODI,50,"Ireland, Pakistan",Ireland,Pakistan,international,Pakistan,bat,Pakistan,,86,,,Javeria Khan
2017-02-19,27,Colombo,P Sara Oval,2016/17,ICC Women's World Cup Qualifier,ODI,50,"India, Pakistan",India,Pakistan,international,India,field,India,,,7,,E Bisht
2017-02-19,28,Colombo,Nondescripts Cricket Club Ground,2016/17,ICC Women's World Cup Qualifier,ODI,50,"Sri Lanka, Bangladesh",Sri Lanka,Bangladesh,international,Bangladesh,field,Sri Lanka,,42,,,AC Jayangani
2017-02-19,29,,Colombo Cricket Club Ground,2016/17,ICC Women's World Cup Qualifier,ODI,50,"Ireland, South Africa",Ireland,South Africa,international,Ireland,bat,South Africa,,36,,,
2017-02-21,,Colombo,P Sara Oval,2016/17,ICC Women's World Cup Qualifier,ODI,50,"India, South Africa",India,South Africa,international,South Africa,bat,India,,,1,,DB Sharma
2017-10-15,1,Kimberley,Diamond Oval,2017/18,Bangladesh tour of South Africa,ODI,50,"Bangladesh, South Africa",Bangladesh,South Africa,international,Bangladesh,bat,South Africa,,,10,,Q de Kock
2017-10-18,2,Paarl,Boland Park,2017/18,Bangladesh tour of South Africa,ODI,50,"South Africa, Bangladesh",South Africa,Bangladesh,international,Bangladesh,field,South Africa,,104,,,AB de Villiers
2017-10-22,3,East London,Buffalo Park,2017/18,Bangladesh tour of South Africa,ODI,50,"South Africa, Bangladesh",South Africa,Bangladesh,international,South Africa,bat,South Africa,,200,,,F du Plessis
2017-04-07,1,Guyana,Providence Stadium,2017,Pakistan in West Indies ODI Series,ODI,50,"West Indies, Pakistan",West Indies,Pakistan,international,West Indies,field,West Indies,,,4,,JN Mohammed
2017-04-09,2,Guyana,Providence Stadium,2017,Pakistan in West Indies ODI Series,ODI,50,"West Indies, Pakistan",West Indies,Pakistan,international,West Indies,field,Pakistan,,74,,,Babar Azam
2017-04-11,3,Guyana,Providence Stadium,2017,Pakistan in West Indies ODI Series,ODI,50,"West Indies, Pakistan",West Indies,Pakistan,international,West Indies,bat,Pakistan,,,6,,Shoaib Malik
2017-01-22,1,Abu Dhabi,Sheikh Zayed Stadium,2016/17,United Arab Emirates Tri-Nation Series,ODI,50,"Hong Kong, Scotland",Hong Kong,Scotland,international,Hong Kong,field,Hong Kong,,,7,,Babar Hayat
2017-01-24,2,,Dubai International Cricket Stadium,2016/17,United Arab Emirates Tri-Nation Series,ODI,50,"United Arab Emirates, Scotland",United Arab Emirates,Scotland,international,Scotland,bat,United Arab Emirates,,,4,,Adnan Mufti
2017-01-26,3,,Dubai International Cricket Stadium,2016/17,United Arab Emirates Tri-Nation Series,ODI,50,"United Arab Emirates, Hong Kong",United Arab Emirates,Hong Kong,international,United Arab Emirates,field,United Arab Emirates,,,6,,Imran Haider
2017-03-02,1,Dubai,ICC Global Cricket Academy,2016/17,Ireland in United Arab Emirates ODI Series,ODI,50,"United Arab Emirates, Ireland",United Arab Emirates,Ireland,international,United Arab Emirates,field,Ireland,,85,,,WTS Porterfield
2017-03-04,2,Dubai,ICC Global Cricket Academy,2016/17,Ireland in United Arab Emirates ODI Series,ODI,50,"United Arab Emirates, Ireland",United Arab Emirates,Ireland,international,United Arab Emirates,bat,Ireland,,,8,,WTS Porterfield
2017-03-25,1,,Rangiri Dambulla International Stadium,2016/17,Bangladesh in Sri Lanka ODI Series,ODI,50,"Sri Lanka, Bangladesh",Sri Lanka,Bangladesh,international,Sri Lanka,field,Bangladesh,,90,,,Tamim Iqbal
2017-03-28,2,,Rangiri Dambulla International Stadium,2016/17,Bangladesh in Sri Lanka ODI Series,ODI,50,"Sri Lanka, Bangladesh",Sri Lanka,Bangladesh,international,Sri Lanka,bat,,no result,,,,
2017-04-01,3,Colombo,Sinhalese Sports Club Ground,2016/17,Bangladesh in Sri Lanka ODI Series,ODI,50,"Sri Lanka, Bangladesh",Sri Lanka,Bangladesh,international,Bangladesh,field,Sri Lanka,,70,,,NLTC Perera
2017-06-24,1,Bristol,County Ground,2017,ICC Women's World Cup,ODI,50,"New Zealand, Sri Lanka",New Zealand,Sri Lanka,international,New Zealand,field,New Zealand,,,9,,HR Huddleston
2017-06-24,2,Derby,County Ground,2017,ICC Women's World Cup,ODI,50,"England, India",England,India,international,England,field,India,,35,,,S Mandhana
2017-06-25,3,Leicester,Grace Road,2017,ICC Women's World Cup,ODI,50,"Pakistan, South Africa",Pakistan,South Africa,international,South Africa,field,South Africa,,,3,,S Ismail
2017-06-26,4,Taunton,County Ground,2017,ICC Women's World Cup,ODI,50,"Australia, West Indies",Australia,West Indies,international,West Indies,bat,Australia,,,8,,NE Bolton
2017-06-27,5,Leicester,Grace Road,2017,ICC Women's World Cup,ODI,50,"England, Pakistan",England,Pakistan,international,Pakistan,field,England,,107,,,NR Sciver
2017-06-29,7,Taunton,County Ground,2017,ICC Women's World Cup,ODI,50,"India, West Indies",India,West Indies,international,India,field,India,,,7,,S Mandhana
2017-06-29,8,Bristol,County Ground,2017,ICC Women's World Cup,ODI,50,"Australia, Sri Lanka",Australia,Sri Lanka,international,Australia,field,Australia,,,8,,AC Jayangani
